Dwarf,FunctionName,ClassName,PreciseName,Params,,PreciseSrcType (vTrust),SrcType (IFCC),SafeSrcType (IFCC-safe),BinType (TypeArmor),Baseline,,PreciseSrcType-VFunctions,SrcType-VFunctions,SafeSrcType-VFunctions,BinType-VFunctions,Baseline-VFunctions,,VTableSubHierarchy (ShrinkWrap),ClassSubHierarchy (VTV),ClassIsland (Marx),AllVTables (vTint)
(The dwarf info of this callsite),(The least-derived vfunction used at this vcall),(The class defining functionname),(The least-derived class of the object used at this vcall),(# of params provided by this callsite (=# consumed)),,(func sig matching including C/C++ func name & ret type),(param type matching w/ pointer types),(param type matching wo/ pointer types),(Callsite param >= Callee param (up to 6),(total # of functions),,(PreciseSrcType only virtual targets),(SrcType only virtual targets),(SafeSrcType only virtual targets),(BinType only virtual targets),(total # of virtual targets),,(targets at offset in vTable hierarchy with PreciseName as root),(targets at offset in class hierarchy with PreciseName as root),(targets in class hierarchy island containing PreciseName),(targets in any vtable)
../lib/ts/Ptr.h:215:5,_ZN10ProxyMutex4freeEv,_ZTV10ProxyMutex,_ZTV10ProxyMutex,1,,17,1315,1315,2608,6201,,13,97,97,232,796,,1,1,7,788
../lib/ts/Ptr.h:215:5,_ZN10ProxyMutex4freeEv,_ZTV10ProxyMutex,_ZTV10ProxyMutex,1,,17,1315,1315,2608,6201,,13,97,97,232,796,,1,1,7,788
../lib/ts/Ptr.h:215:5,_ZN10ProxyMutex4freeEv,_ZTV10ProxyMutex,_ZTV10ProxyMutex,1,,17,1315,1315,2608,6201,,13,97,97,232,796,,1,1,7,788
../lib/ts/Ptr.h:215:5,_ZN10ProxyMutex4freeEv,_ZTV10ProxyMutex,_ZTV10ProxyMutex,1,,17,1315,1315,2608,6201,,13,97,97,232,796,,1,1,7,788
../lib/ts/Ptr.h:215:5,_ZN10ProxyMutex4freeEv,_ZTV10ProxyMutex,_ZTV10ProxyMutex,1,,17,1315,1315,2608,6201,,13,97,97,232,796,,1,1,7,788
../lib/ts/Ptr.h:215:5,_ZN10ProxyMutex4freeEv,_ZTV10ProxyMutex,_ZTV10ProxyMutex,1,,17,1315,1315,2608,6201,,13,97,97,232,796,,1,1,7,788
../lib/ts/Ptr.h:215:5,_ZN10ProxyMutex4freeEv,_ZTV10ProxyMutex,_ZTV10ProxyMutex,1,,17,1315,1315,2608,6201,,13,97,97,232,796,,1,1,7,788
NetVCTest.cc:298:3,_ZN9NetVCTestD2Ev,_ZTV9NetVCTest,_ZTV9NetVCTest,1,,2,1315,1315,2608,6201,,0,97,97,232,796,,0,0,0,788
NetVCTest.cc:290:3,_ZN14NetVConnection11do_io_closeEi,_ZTV14NetVConnection,_ZTV14NetVConnection,2,,15,152,152,4085,6201,,15,29,29,546,796,,4,4,34,788
NetVCTest.cc:298:3,_ZN9NetVCTestD2Ev,_ZTV9NetVCTest,_ZTV9NetVCTest,1,,2,1315,1315,2608,6201,,0,97,97,232,796,,0,0,0,788
